,id,name,host_id,host_name,host_since,neighbourhood,neighbourhood_group,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,last_review,bathrooms,shared,last_review_year,host_since_year,hot.s,hot,predicted_price
1,652512981578744192,Rental unit in Brooklyn · ★4.15 · 1 bedroom · 1 bed · 1 shared bath,408016532,Phar'Victor,18797,Bedford-Stuyvesant,Brooklyn,40.68737,-73.95489,Private room,1,1 shared bath,1,1,39,19601,1,1,2023,2021,0,0,83.88
2,24022894,Rental unit in Brooklyn · ★New · Studio · 1 bed · 1 bath,11134103,Selin,16078,Williamsburg,Brooklyn,40.71780565,-73.94253787,Entire home/apt,2,1 bath,1,1,0,NA,1,0,2022.8,2014,1,0,221.92
3,636748829958680576,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 bath,4979775,Julie,15741,Vinegar Hill,Brooklyn,40.69876,-73.98541,Entire home/apt,2,1 bath,1,1,8,19609,1,0,2023,2013,1,0,304.47
4,649211720318305280,Serviced apartment in New York · Studio · 1 bed · 1 bath,415840703,Anyplace,18837,Financial District,Manhattan,40.70405,-74.008,Entire home/apt,2,1 bath,1,1,0,NA,1,0,2022.6,2021,1,1,327.82
5,983741725920450176,Rental unit in Queens · ★New · 1 bedroom · 1 bed · 1 shared bath,501499086,CrossOver,19405,Elmhurst,Queens,40.734981,-73.8847008,Private room,2,1 shared bath,1,1,0,NA,1,1,2022.8,2023,0,0,78.52
6,1010279287170639104,Rental unit in New York · ★New · Studio · 1 bed · 1 bath,45315631,Ray,16706,Lower East Side,Manhattan,40.71924,-73.99072,Entire home/apt,2,1 bath,1,1,0,NA,1,0,2022.4,2015,1,0,240.80
7,662324653098427776,Home in The Bronx · ★4.87 · 3 bedrooms · 3 beds · 1.5 shared baths,54748204,Samuel,16815,Concourse,Bronx,40.81971,-73.9282,Private room,8,1.5 shared baths,2,3,23,19649,1.5,1,2023,2016,0,0,207.11
8,792793758746280448,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,257985993,Luciana,18011,SoHo,Manhattan,40.72765327,-74.0028198,Entire home/apt,2,1 bath,1,1,3,19651,1,0,2023,2019,1,0,317.04
9,622356582670535168,Serviced apartment in New York · 3 bedrooms · 6 beds · 3 baths,174792040,RoomPicks By Victoria,17584,Theater District,Manhattan,40.75936,-73.98521,Entire home/apt,12,3 baths,3,6,0,NA,3,0,2023,2018,1,1,939.97
10,882854676538619392,Condo in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1 private bath,512885422,Magen,19479,Sunset Park,Brooklyn,40.64524163,-74.01779142,Private room,1,1 private bath,1,1,31,19652,1,0,2023,2023,1,0,118.17
11,801920454969755264,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,407304997,Boomerang,18793,Greenwich Village,Manhattan,40.73168684,-74.00081601,Entire home/apt,4,1 bath,1,1,1,19533,1,0,2023,2021,1,0,359.71
12,812511534636441984,Serviced apartment in New York · 3 bedrooms · 6 beds · 3 baths,496932087,Reservations,19376,Midtown,Manhattan,40.75170566,-73.98631156,Entire home/apt,12,3 baths,3,6,0,NA,3,0,2023,2023,1,1,815.07
13,564542318120486464,Condo in New York · ★4.90 · 1 bedroom · 1 bed · 2 baths,445563777,Pedro,19040,Midtown,Manhattan,40.76547,-73.97962,Entire home/apt,3,2 baths,1,1,39,19632,2,0,2023,2022,1,1,428.61
14,839964848620626560,Rental unit in New York · ★4.72 · Studio · 3 beds · 1 bath,348619646,Nomad,18416,Midtown,Manhattan,40.74618599,-73.98812605,Entire home/apt,4,1 bath,2,3,18,19653,1,0,2023,2020,1,1,367.48
15,40075733,Condo in New York · 1 bedroom · 1 bed · 1 bath,3910667,William,15631,Chelsea,Manhattan,40.74588,-73.99809,Entire home/apt,2,1 bath,1,1,0,NA,1,0,2021,2012,1,0,287.51
